	('H2228', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('H1975', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: true', 'mut-RB1: false', 'mut-KRAS: false')	('H2405', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('HCC44', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H1792', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('Lou-NH91', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('HCC15', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H460', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('H1355', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('A549', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('H1944', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('H1703', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H1299', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H23', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('H661', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H838', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('HCC78', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H441', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('H1781', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H358', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('HCC827', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: true', 'mut-RB1: false', 'mut-KRAS: false')	('Calu-3', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H1666', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H1437', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H1650', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: true', 'mut-RB1: false', 'mut-KRAS: false')	('CAL-12T', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H2342', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H1734', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: true')	('H526', 'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('H2106', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H209', 'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('DMS153', 'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('H69', 'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('H82', 'Histology: SCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('H524', 'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('H446', 'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('DMS53', 'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')
('RPL39L', 'Data-Type: Exp')	0.76178593131	0.756173214817	-2.5370852592	0.205543026116	0.313379914395	0.821751585249	0.277160239981	0.428635538843	0.779816566912	0.393583251453	0.298105717718	1.01647374874	0.902294596793	0.0752407701629	0.209426135747	0.580483977656	-1.10132136897	1.70030653382	0.813639556165	0.901415570539	-0.332069653868	0.120840257083	-0.215799468026	1.07109998749	0.239218209558	-0.560631539339	0.327140356469	0.111471599732	-1.06824187083	-2.29883512117	-2.15569495451	0.271627840608	-2.27793035975	-0.08168716871	0.221712424022	-0.483546626002	-0.485483160998
('CXorf61', 'Data-Type: Exp')	-0.43255980734	1.10341714547	-0.962617414001	0.754778103417	-0.958458915485	0.495073976344	1.44270752462	-0.991771332766	1.7738446299	-0.909382895686	0.80887286804	0.957164078527	-0.924921553766	0.0614094347259	-1.06744816944	0.804932667082	-1.0304288917	1.08756923251	0.817880790837	0.9426462414	0.959699688625	0.999937106169	1.09458379075	1.22322227379	-0.9772013701	0.44957922594	0.503353890778	1.18574086292	-1.04956631097	-1.08373022866	-1.01491017426	-1.04758099263	-1.03676476842	-1.02237042335	-1.05922247956	-0.957061671178	-0.940416132531
('ADORA2B', 'Data-Type: Exp')	0.840845603421	1.14779407552	0.424101729477	1.39116242371	0.222323203976	0.426310553391	-0.686762698266	-0.28070648953	0.601514088487	-0.409162799431	0.324133431458	0.402770645138	1.01346994012	0.160086868295	-0.390283146721	0.229265861183	0.483008174862	1.17449086692	0.390462280861	1.03756665296	0.892981404446	0.252335468418	0.922546733777	0.0743767449063	0.757508859589	0.794113789782	-0.553275261195	-0.40743471662	-1.14392461954	-1.93510068735	-2.32401775486	-2.39971881864	-2.15077944168	0.00263893664816	0.36632629341	-1.30130195632	-0.349666240611
('MYC', 'Data-Type: Exp')	0.230456620527	0.757719444954	0.309347877982	0.936663140398	1.01058656253	-0.0232586640533	0.0296364700702	0.517027627965	0.166421965805	0.328527396429	0.284055303319	0.250249789757	0.414532312653	0.394739143422	-0.307122181696	-0.963487359529	0.275284396575	0.524481335256	0.0507312043393	-0.460442634602	0.932007993369	0.41210116114	0.752739883817	0.256898324683	-0.424287659345	0.515675251078	-0.0170987045928	-0.0761694325915	-2.20966826484	-2.5637447671	-2.30128906289	-1.97248676485	-1.91979253296	1.3058112186	1.39070999997	0.835043352319	0.357400252098
('CSDA', 'Data-Type: Exp')	-0.00838832389508	0.232663749738	0.414430849419	0.661010633308	0.760481272758	0.0203985500875	-0.122984174606	0.128943190488	-0.064087603922	0.369426731803	0.614936999451	0.884145495387	0.796507082983	1.00291245944	-0.741552965196	0.0541164568446	0.424501189184	0.591987432531	0.0172519207257	-0.0895139452946	0.74396006135	0.387878701477	0.58562099638	-0.165337017752	0.573574866086	0.460763418788	0.100235122965	0.295185417576	-0.269091351199	-3.84336059005	-1.36669815486	0.0892134766494	-3.34700936065	0.496186922498	0.228684023514	-0.0459621181528	-0.871031415853
('RGS10', 'Data-Type: Exp')	0.374815566216	0.663149270733	0.0935744047964	0.195500655653	0.235924182664	0.583175319538	-0.28397623494	0.520051119013	-0.0669755983747	0.30273922696	-0.756162149973	0.567408443154	0.32085327588	0.227431273343	-0.0894449563341	0.504805836526	1.0686034831	1.14259611298	0.726783726157	-0.568508540458	0.624897161793	-0.796156495919	0.463004621287	-0.017228580456	0.64515428129	1.38642425129	0.361220107903	0.495507858364	-1.33645350269	0.256130276671	-3.10220305413	-2.37146134355	-2.02011909628	0.711011180274	0.788751348911	0.0609282963481	-1.91175172775
('FAT1', 'Data-Type: Exp')	1.30867718544	0.0487506102762	1.23189963294	-0.0337089072618	0.362646397769	-0.181718632937	0.270598564238	0.199677806459	0.631146562707	0.609615193289	0.164291183846	0.107181971839	0.0377636567369	0.22631201755	0.489365144855	-0.839508251582	0.338066435574	0.263124594849	0.158904243921	0.324030889258	0.364853622647	0.630337975375	0.520217122298	0.101904300472	0.88940826373	0.147726070405	-0.347341903872	1.43334168363	-0.657562989748	-2.95140177599	0.340557758704	0.505482257208	0.170814516778	-3.0938262393	-1.05511970258	-2.50966778503	-0.206839474496
('TNS3', 'Data-Type: Exp')	1.00838351417	0.809104785793	1.13839074042	-0.432197853233	-0.0419786236849	1.24791011908	-0.0323412154319	0.227384585193	0.559972955083	0.960916864835	0.00850723527976	0.873677649105	-1.08647711777	0.0976224407285	0.545550262948	-0.519560847646	0.571855708645	0.220423272065	0.454513517225	0.565508337784	0.746438114199	0.327967142943	-0.496199849259	0.311836304984	0.936685949865	0.334557120023	1.32805434071	0.390143650954	-2.626558227	-1.8703749435	-0.398821674053	-0.730883241868	-0.134407136918	-1.26234830697	-1.28978211914	-2.87704568185	0.133572226284
('AMIGO2', 'Data-Type: Exp')	1.00630698067	0.283255582864	0.46522030876	1.03687951525	0.599527104849	0.590931739558	-0.130992991246	-0.303051137303	1.10734044357	1.3690440362	0.0144776675265	-1.31314138827	0.16812403552	-1.27378219939	-0.25667408546	-0.189443581933	-0.122992138721	1.12211688772	-0.917616384889	0.524073280518	1.13356473453	0.553697796872	1.23262631951	0.196404472694	0.406523233333	0.378895875385	-0.295438761582	0.567151228919	-2.1323985188	-0.660765381576	-0.28136174421	0.762527252718	-0.0801029512838	-2.32575884517	-1.05710778735	-2.73413897577	0.556078375985
('TPBG', 'Data-Type: Exp')	0.478567493158	0.325777493613	-0.108468742922	1.14852967586	0.274048443872	0.209129926794	0.450902533978	-1.92069281001	0.903217929236	0.240287728532	-0.66164446816	0.346029807538	0.263204685235	0.573841332683	-1.34060213508	-0.216413010292	0.489262072952	0.946731854432	0.924704826688	0.742593468399	0.363144221668	0.59088372944	1.22190509009	0.337007059602	0.533671071204	0.390896630514	0.110216637916	0.34269128792	-0.427746446233	-2.99878052829	-0.756813882495	0.829369257987	0.496787888363	-0.844788246922	-2.4745429265	-1.9737104563	0.19080150553
